r,m,std
8.0,0.58,0.49356
2.0,0.6,0.4899
4.0,0.51,0.4999
9.0,0.51,0.4999
3.0,0.54,0.4984
1.0,0.54,0.4984
7.0,0.47,0.4991
5.0,0.48,0.4996
0.5,0.44,0.49639
6.0,0.45,0.49749
0.25,0.54,0.4984
0.11,0.5,0.43
0.0,0.5008,0.05188
