r,x,N
8.0,1.0,58
8.0,0.0,42
2.0,1.0,60
2.0,0.0,40
4.0,1.0,51
4.0,0.0,49
9.0,1.0,51
9.0,0.0,49
3.0,1.0,54
3.0,0.0,46
1.0,0.0,46
1.0,1.0,54
7.0,0.0,53
7.0,1.0,47
5.0,1.0,48
5.0,0.0,52
0.5,0.0,56
0.5,1.0,44
6.0,0.0,55
6.0,1.0,45
0.25,1.0,54
0.25,0.0,46
0.11,0.02,2
0.11,0.0,25
0.11,0.95,3
0.11,1.0,26
0.11,0.97,2
0.11,0.13,1
0.11,0.72,1
0.11,0.98,3
0.11,0.96,1
0.11,0.03,2
0.11,0.06,2
0.11,0.86,2
0.11,0.54,1
0.11,0.25,1
0.11,0.48,1
0.11,0.51,1
0.11,0.42,1
0.11,0.53,2
0.11,0.07,3
0.11,0.32,2
0.11,0.16,2
0.11,0.67,1
0.11,0.34,1
0.11,0.47,1
0.11,0.88,2
0.11,0.33,1
0.11,0.68,1
0.11,0.14,1
0.11,0.08,1
0.11,0.3,2
0.11,0.55,1
0.11,0.43,1
0.11,0.29,1
0.11,0.82,1
0.11,0.93,1
0.0,0.53,5
0.0,0.55,3
0.0,0.6,2
0.0,0.46,7
0.0,0.5,5
0.0,0.58,1
0.0,0.45,6
0.0,0.44,5
0.0,0.52,9
0.0,0.54,7
0.0,0.41,2
0.0,0.56,6
0.0,0.67,1
0.0,0.51,9
0.0,0.43,2
0.0,0.48,7
0.0,0.49,8
0.0,0.42,2
0.0,0.39,2
0.0,0.57,4
0.0,0.38,1
0.0,0.59,2
0.0,0.47,4
