r,x,N
3.0,1.0,68
3.0,0.0,32
6.0,0.0,42
6.0,1.0,58
7.0,0.0,51
7.0,1.0,49
1.0,1.0,85
1.0,0.12,1
1.0,0.0,10
1.0,0.32,1
1.0,0.47,1
1.0,0.79,1
1.0,0.99,1
2.0,1.0,59
2.0,0.0,41
4.0,0.0,44
4.0,1.0,56
5.0,0.0,44
5.0,1.0,56
8.0,0.0,53
8.0,1.0,47
9.0,0.0,50
9.0,1.0,50
0.5,0.26,4
0.5,0.27,6
0.5,0.34,2
0.5,0.33,5
0.5,0.2,7
0.5,0.1,1
0.5,0.24,5
0.5,0.17,7
0.5,0.4,3
0.5,0.29,6
0.5,0.23,2
0.5,0.3,3
0.5,0.35,5
0.5,0.18,4
0.5,0.25,5
0.5,0.49,1
0.5,0.19,4
0.5,0.28,2
0.5,0.53,1
0.5,0.07,1
0.5,0.22,3
0.5,0.36,2
0.5,0.46,1
0.5,0.31,1
0.5,0.21,3
0.5,0.14,2
0.5,0.43,1
0.5,0.12,1
0.5,0.45,1
0.5,0.38,1
0.5,0.32,2
0.5,0.11,1
0.5,0.16,2
0.5,0.75,1
0.5,0.37,1
0.5,0.51,1
0.5,0.48,2
0.11,0.28,6
0.11,0.25,7
0.11,0.17,2
0.11,0.21,5
0.11,0.31,5
0.11,0.22,6
0.11,0.36,7
0.11,0.38,2
0.11,0.32,5
0.11,0.27,7
0.11,0.3,6
0.11,0.37,2
0.11,0.29,7
0.11,0.4,4
0.11,0.16,1
0.11,0.35,2
0.11,0.44,1
0.11,0.34,2
0.11,0.41,2
0.11,0.33,6
0.11,0.45,1
0.11,0.2,2
0.11,0.26,4
0.11,0.23,3
0.11,0.19,2
0.11,0.24,3
0.25,0.28,3
0.25,0.21,4
0.25,0.2,3
0.25,0.26,7
0.25,0.17,3
0.25,0.14,4
0.25,0.3,4
0.25,0.25,5
0.25,0.29,5
0.25,0.23,4
0.25,0.31,4
0.25,0.27,6
0.25,0.22,4
0.25,0.39,2
0.25,0.37,2
0.25,0.19,7
0.25,0.48,2
0.25,0.33,3
0.25,0.12,1
0.25,0.36,4
0.25,0.13,1
0.25,0.16,1
0.25,0.18,3
0.25,0.24,5
0.25,0.34,2
0.25,0.15,2
0.25,0.4,3
0.25,0.1,1
0.25,0.41,1
0.25,0.35,2
0.25,0.44,1
0.25,0.46,1
0.0,0.31,6
0.0,0.23,10
0.0,0.24,13
0.0,0.19,3
0.0,0.32,6
0.0,0.35,1
0.0,0.26,6
0.0,0.21,4
0.0,0.25,8
0.0,0.2,2
0.0,0.28,8
0.0,0.3,9
0.0,0.27,8
0.0,0.17,1
0.0,0.29,7
0.0,0.22,2
0.0,0.18,1
0.0,0.33,2
0.0,0.38,1
0.0,0.34,1
0.0,0.37,1
