r,x,N
2.0,1.0,100
1.0,1.0,100
3.0,1.0,100
4.0,1.0,100
6.0,1.0,97
6.0,0.0,3
5.0,1.0,100
0.5,1.0,100
8.0,1.0,92
8.0,0.0,8
7.0,1.0,99
7.0,0.0,1
9.0,1.0,95
9.0,0.0,5
0.25,0.47,1
0.25,1.0,54
0.25,0.8,2
0.25,0.56,2
0.25,0.61,2
0.25,0.51,1
0.25,0.77,1
0.25,0.91,3
0.25,0.59,2
0.25,0.73,1
0.25,0.94,1
0.25,0.55,1
0.25,0.7,2
0.25,0.89,3
0.25,0.46,1
0.25,0.88,1
0.25,0.85,2
0.25,0.71,1
0.25,0.5,2
0.25,0.84,1
0.25,0.98,1
0.25,0.58,1
0.25,0.96,2
0.25,0.82,1
0.25,0.92,2
0.25,0.99,2
0.25,0.62,1
0.25,0.68,2
0.25,0.9,1
0.25,0.69,2
0.25,0.34,1
0.11,0.52,5
0.11,0.53,4
0.11,0.78,2
0.11,0.62,3
0.11,0.77,4
0.11,0.71,2
0.11,0.5,4
0.11,0.39,1
0.11,0.51,3
0.11,0.34,1
0.11,0.43,2
0.11,0.72,3
0.11,0.59,3
0.11,0.37,1
0.11,0.48,2
0.11,0.41,2
0.11,0.49,1
0.11,0.56,3
0.11,0.65,3
0.11,0.81,1
0.11,0.46,2
0.11,0.75,1
0.11,0.68,2
0.11,0.42,5
0.11,0.6,2
0.11,0.61,3
0.11,0.38,4
0.11,0.63,2
0.11,0.57,2
0.11,0.9,1
0.11,0.7,2
0.11,0.79,1
0.11,0.44,4
0.11,0.47,5
0.11,0.74,1
0.11,0.58,2
0.11,0.64,3
0.11,0.69,1
0.11,0.3,1
0.11,0.54,1
0.11,0.67,1
0.11,0.45,1
0.11,0.33,1
0.11,0.35,1
0.11,0.66,1
0.0,0.32,6
0.0,0.3,6
0.0,0.39,3
0.0,0.26,7
0.0,0.34,14
0.0,0.25,4
0.0,0.37,4
0.0,0.33,13
0.0,0.28,4
0.0,0.27,5
0.0,0.31,10
0.0,0.35,7
0.0,0.29,3
0.0,0.24,2
0.0,0.4,2
0.0,0.38,3
0.0,0.44,2
0.0,0.36,2
0.0,0.43,2
0.0,0.23,1
