r,x,N
7.0,1.0,37
7.0,0.0,63
9.0,0.0,58
9.0,1.0,42
8.0,1.0,37
8.0,0.0,63
2.0,0.0,67
2.0,1.0,33
3.0,0.0,61
3.0,1.0,39
5.0,0.0,72
5.0,1.0,28
6.0,1.0,39
6.0,0.0,61
1.0,0.0,72
1.0,1.0,28
0.5,0.0,22
0.5,0.03,1
0.5,0.13,3
0.5,1.0,12
0.5,0.25,3
0.5,0.6,1
0.5,0.2,2
0.5,0.29,3
0.5,0.24,2
0.5,0.22,3
0.5,0.35,1
0.5,0.34,2
0.5,0.85,1
0.5,0.32,4
0.5,0.23,2
0.5,0.4,1
0.5,0.26,2
0.5,0.18,4
0.5,0.37,1
0.5,0.36,2
0.5,0.11,2
0.5,0.42,1
0.5,0.28,1
0.5,0.87,1
0.5,0.48,1
0.5,0.09,1
0.5,0.64,1
0.5,0.1,2
0.5,0.65,1
0.5,0.01,2
0.5,0.07,1
0.5,0.33,3
0.5,0.93,1
0.5,0.52,1
0.5,0.08,1
0.5,0.92,1
0.5,0.69,1
0.5,0.15,1
0.5,0.44,1
0.5,0.19,1
0.5,0.31,2
0.5,0.27,1
4.0,0.0,68
4.0,1.0,32
0.25,0.22,2
0.25,0.5,2
0.25,0.31,6
0.25,0.18,3
0.25,0.3,4
0.25,0.25,5
0.25,0.27,5
0.25,0.21,3
0.25,0.19,4
0.25,0.26,7
0.25,0.23,7
0.25,0.14,2
0.25,0.24,1
0.25,0.35,5
0.25,0.43,1
0.25,0.32,4
0.25,0.29,5
0.25,0.36,3
0.25,0.37,3
0.25,0.4,4
0.25,0.15,3
0.25,0.34,3
0.25,0.33,4
0.25,0.38,2
0.25,0.48,1
0.25,0.56,1
0.25,0.2,1
0.25,0.42,2
0.25,0.28,2
0.25,0.57,1
0.25,0.47,1
0.25,0.39,1
0.25,0.49,1
0.25,0.53,1
0.11,0.23,7
0.11,0.24,1
0.11,0.34,6
0.11,0.28,10
0.11,0.42,1
0.11,0.35,9
0.11,0.25,7
0.11,0.27,3
0.11,0.56,1
0.11,0.33,8
0.11,0.4,2
0.11,0.36,6
0.11,0.29,6
0.11,0.2,2
0.11,0.16,2
0.11,0.43,2
0.11,0.31,4
0.11,0.26,1
0.11,0.3,4
0.11,0.32,2
0.11,0.45,2
0.11,0.21,2
0.11,0.48,1
0.11,0.22,2
0.11,0.37,3
0.11,0.38,3
0.11,0.39,1
0.11,0.18,1
0.11,0.49,1
0.0,0.31,7
0.0,0.34,15
0.0,0.42,5
0.0,0.27,1
0.0,0.26,5
0.0,0.37,4
0.0,0.29,7
0.0,0.32,8
0.0,0.36,8
0.0,0.3,8
0.0,0.39,6
0.0,0.33,7
0.0,0.46,1
0.0,0.4,2
0.0,0.25,2
0.0,0.35,3
0.0,0.41,3
0.0,0.43,1
0.0,0.38,3
0.0,0.21,1
0.0,0.24,2
0.0,0.28,1
