r,x,N
9.0,0.0,80
9.0,1.0,20
5.0,0.0,81
5.0,1.0,19
4.0,0.0,79
4.0,1.0,21
6.0,0.0,79
6.0,1.0,21
8.0,1.0,21
8.0,0.0,79
2.0,0.0,85
2.0,1.0,15
3.0,0.0,81
3.0,1.0,19
7.0,0.0,74
7.0,1.0,26
0.5,0.37,1
0.5,0.1,3
0.5,0.25,1
0.5,0.07,2
0.5,0.2,3
0.5,0.17,8
0.5,0.13,8
0.5,0.29,1
0.5,0.11,4
0.5,0.16,8
0.5,0.14,8
0.5,0.22,3
0.5,0.18,6
0.5,0.19,7
0.5,0.21,6
0.5,0.24,2
0.5,0.23,4
0.5,0.15,7
0.5,0.12,8
0.5,0.09,2
0.5,0.27,2
0.5,0.28,2
0.5,0.26,1
0.5,0.08,1
0.5,0.05,1
0.5,0.32,1
1.0,0.19,4
1.0,0.12,8
1.0,0.27,3
1.0,0.09,6
1.0,0.14,2
1.0,0.18,8
1.0,0.1,5
1.0,0.33,1
1.0,0.07,5
1.0,0.05,4
1.0,0.08,9
1.0,0.23,1
1.0,0.0,5
1.0,0.11,2
1.0,0.13,9
1.0,0.22,2
1.0,0.2,4
1.0,0.29,1
1.0,0.06,1
1.0,0.25,2
1.0,0.17,6
1.0,0.32,2
1.0,0.04,1
1.0,0.7,1
1.0,0.15,2
1.0,0.28,1
1.0,0.24,1
1.0,0.26,1
1.0,0.21,1
1.0,0.4,1
1.0,1.0,1
0.25,0.16,8
0.25,0.19,15
0.25,0.11,4
0.25,0.27,1
0.25,0.09,1
0.25,0.21,7
0.25,0.2,5
0.25,0.24,6
0.25,0.18,9
0.25,0.14,9
0.25,0.22,5
0.25,0.13,6
0.25,0.25,1
0.25,0.17,4
0.25,0.28,1
0.25,0.23,5
0.25,0.12,2
0.25,0.1,2
0.25,0.08,1
0.25,0.31,1
0.25,0.15,3
0.25,0.26,2
0.25,0.32,1
0.25,0.07,1
0.11,0.14,3
0.11,0.13,5
0.11,0.15,8
0.11,0.19,12
0.11,0.17,9
0.11,0.27,2
0.11,0.23,5
0.11,0.16,7
0.11,0.21,10
0.11,0.12,2
0.11,0.25,5
0.11,0.2,3
0.11,0.22,4
0.11,0.24,3
0.11,0.3,1
0.11,0.26,2
0.11,0.18,9
0.11,0.1,2
0.11,0.11,4
0.11,0.29,1
0.11,0.07,1
0.11,0.36,1
0.11,0.28,1
0.0,0.19,9
0.0,0.16,8
0.0,0.24,8
0.0,0.17,5
0.0,0.15,3
0.0,0.18,11
0.0,0.22,7
0.0,0.13,4
0.0,0.21,9
0.0,0.23,5
0.0,0.26,5
0.0,0.12,2
0.0,0.25,6
0.0,0.29,1
0.0,0.2,12
0.0,0.27,1
0.0,0.14,2
0.0,0.28,2
