r,x,N
6.0,1.0,98
6.0,0.0,2
7.0,1.0,93
7.0,0.0,7
9.0,1.0,96
9.0,0.0,4
4.0,1.0,97
4.0,0.0,3
3.0,1.0,98
3.0,0.0,2
8.0,1.0,94
8.0,0.0,6
5.0,1.0,99
5.0,0.0,1
1.0,1.0,100
2.0,1.0,99
2.0,0.0,1
0.5,0.45,1
0.5,1.0,79
0.5,0.79,1
0.5,0.37,2
0.5,0.77,1
0.5,0.57,1
0.5,0.9,1
0.5,0.82,1
0.5,0.98,1
0.5,0.95,3
0.5,0.68,1
0.5,0.41,1
0.5,0.39,1
0.5,0.55,1
0.5,0.99,2
0.5,0.72,1
0.5,0.91,2
0.25,0.28,4
0.25,0.34,4
0.25,0.3,2
0.25,0.31,4
0.25,0.22,5
0.25,0.26,4
0.25,0.29,3
0.25,0.43,7
0.25,0.39,3
0.25,0.75,1
0.25,0.49,2
0.25,0.33,3
0.25,0.27,1
0.25,0.51,3
0.25,0.57,1
0.25,0.35,4
0.25,0.42,3
0.25,0.72,1
0.25,0.18,1
0.25,0.23,3
0.25,0.36,4
0.25,0.2,2
0.25,0.4,4
0.25,0.54,2
0.25,0.44,2
0.25,0.45,1
0.25,0.65,1
0.25,0.37,5
0.25,0.47,3
0.25,0.56,1
0.25,0.38,2
0.25,0.58,2
0.25,0.48,1
0.25,0.41,1
0.25,0.71,1
0.25,0.32,2
0.25,0.74,1
0.25,0.24,2
0.25,0.5,1
0.25,0.64,1
0.25,0.53,1
0.25,0.52,1
0.11,0.29,5
0.11,0.22,4
0.11,0.46,2
0.11,0.41,3
0.11,0.18,2
0.11,0.26,4
0.11,0.37,2
0.11,0.43,4
0.11,0.28,5
0.11,0.25,4
0.11,0.38,6
0.11,0.36,5
0.11,0.42,2
0.11,0.4,4
0.11,0.55,1
0.11,0.32,7
0.11,0.45,1
0.11,0.21,2
0.11,0.3,5
0.11,0.31,4
0.11,0.23,3
0.11,0.39,2
0.11,0.34,6
0.11,0.27,2
0.11,0.35,4
0.11,0.24,1
0.11,0.44,1
0.11,0.17,1
0.11,0.48,1
0.11,0.47,2
0.11,0.33,2
0.11,0.53,2
0.11,0.51,1
0.0,0.3,7
0.0,0.19,2
0.0,0.25,12
0.0,0.23,9
0.0,0.38,1
0.0,0.24,7
0.0,0.27,10
0.0,0.2,6
0.0,0.33,2
0.0,0.28,8
0.0,0.29,3
0.0,0.26,6
0.0,0.31,3
0.0,0.21,6
0.0,0.22,4
0.0,0.32,5
0.0,0.36,1
0.0,0.34,2
0.0,0.35,1
0.0,0.17,3
0.0,0.18,1
0.0,0.4,1
