r,x,N
1.0,1.0,89
1.0,0.0,11
0.5,1.0,96
0.5,0.29,1
0.5,0.81,1
0.5,0.52,1
0.5,0.37,1
2.0,0.0,21
2.0,1.0,79
3.0,1.0,75
3.0,0.0,25
7.0,1.0,70
7.0,0.0,30
4.0,0.0,31
4.0,1.0,69
5.0,0.0,33
5.0,1.0,67
6.0,0.0,36
6.0,1.0,64
9.0,1.0,57
9.0,0.0,43
0.25,0.24,2
0.25,0.48,2
0.25,0.4,5
0.25,0.56,3
0.25,0.67,2
0.25,1.0,4
0.25,0.28,3
0.25,0.3,2
0.25,0.58,2
0.25,0.36,3
0.25,0.61,3
0.25,0.53,3
0.25,0.47,1
0.25,0.35,3
0.25,0.63,1
0.25,0.88,1
0.25,0.34,3
0.25,0.32,2
0.25,0.44,4
0.25,0.54,2
0.25,0.38,3
0.25,0.39,5
0.25,0.43,3
0.25,0.29,2
0.25,0.59,2
0.25,0.68,1
0.25,0.9,2
0.25,0.41,2
0.25,0.69,4
0.25,0.22,1
0.25,0.26,2
0.25,0.27,1
0.25,0.46,2
0.25,0.57,2
0.25,0.45,3
0.25,0.71,1
0.25,0.42,1
0.25,0.51,2
0.25,0.5,1
0.25,0.73,1
0.25,0.81,1
0.25,0.23,2
0.25,0.2,1
0.25,0.97,1
0.25,0.49,1
0.25,0.64,1
0.25,0.33,1
8.0,0.0,46
8.0,1.0,54
0.11,0.55,2
0.11,0.26,1
0.11,0.29,2
0.11,0.24,2
0.11,0.36,2
0.11,0.34,4
0.11,0.4,4
0.11,0.51,1
0.11,0.37,3
0.11,0.41,8
0.11,0.44,7
0.11,0.38,6
0.11,0.47,2
0.11,0.3,1
0.11,0.46,3
0.11,0.39,4
0.11,0.35,1
0.11,0.42,5
0.11,0.58,2
0.11,0.53,4
0.11,0.48,7
0.11,0.33,3
0.11,0.31,5
0.11,0.28,2
0.11,0.43,4
0.11,0.32,4
0.11,0.54,1
0.11,0.49,1
0.11,0.52,1
0.11,0.45,3
0.11,0.5,2
0.11,0.74,1
0.11,0.65,1
0.11,0.56,1
0.0,0.44,3
0.0,0.37,5
0.0,0.35,9
0.0,0.33,8
0.0,0.36,6
0.0,0.46,2
0.0,0.38,9
0.0,0.32,6
0.0,0.48,2
0.0,0.4,3
0.0,0.41,6
0.0,0.45,4
0.0,0.29,4
0.0,0.42,7
0.0,0.34,6
0.0,0.31,7
0.0,0.43,3
0.0,0.39,3
0.0,0.3,3
0.0,0.47,1
0.0,0.23,1
0.0,0.28,1
0.0,0.24,1
