r,m,std
2.0,1.0,0.0
0.5,1.0,0.0
8.0,0.99,0.0995
3.0,0.99,0.0995
1.0,1.0,0.0
4.0,1.0,0.0
9.0,1.0,0.0
6.0,0.98,0.14
0.25,1.0,0.0
0.11,1.0,0.0
7.0,0.98,0.14
5.0,0.99,0.0995
0.0,0.5835,0.05491
