r,x,N
2.0,1.0,100
0.5,1.0,100
8.0,1.0,99
8.0,0.0,1
3.0,1.0,99
3.0,0.0,1
1.0,1.0,100
4.0,1.0,100
9.0,1.0,100
6.0,1.0,98
6.0,0.0,2
0.25,1.0,100
0.11,1.0,100
7.0,1.0,98
7.0,0.0,2
5.0,1.0,99
5.0,0.0,1
0.0,0.6,10
0.0,0.54,7
0.0,0.61,7
0.0,0.63,9
0.0,0.49,2
0.0,0.58,6
0.0,0.73,1
0.0,0.62,7
0.0,0.55,7
0.0,0.64,7
0.0,0.59,4
0.0,0.51,2
0.0,0.65,2
0.0,0.52,4
0.0,0.56,5
0.0,0.57,5
0.0,0.5,3
0.0,0.46,2
0.0,0.47,1
0.0,0.66,1
0.0,0.76,1
0.0,0.53,5
0.0,0.69,1
0.0,0.71,1
