r,x,N
0.5,1.0,100
2.0,1.0,100
8.0,1.0,99
8.0,0.0,1
0.5,1.0,100
6.0,1.0,100
3.0,1.0,100
9.0,1.0,96
9.0,0.0,4
5.0,1.0,99
5.0,0.0,1
7.0,1.0,99
7.0,0.0,1
0.25,1.0,100
4.0,1.0,99
4.0,0.0,1
0.11,0.98,5
0.11,1.0,72
0.11,0.89,1
0.11,0.99,4
0.11,0.97,4
0.11,0.86,2
0.11,0.9,1
0.11,0.95,2
0.11,0.72,1
0.11,0.96,3
0.11,0.93,2
0.11,0.91,1
0.11,0.87,2
0.0,0.41,12
0.0,0.42,7
0.0,0.46,9
0.0,0.37,9
0.0,0.33,1
0.0,0.51,4
0.0,0.56,2
0.0,0.5,3
0.0,0.45,2
0.0,0.48,5
0.0,0.36,6
0.0,0.39,3
0.0,0.43,7
0.0,0.4,5
0.0,0.44,3
0.0,0.35,4
0.0,0.38,5
0.0,0.49,2
0.0,0.32,2
0.0,0.55,1
0.0,0.53,1
0.0,0.47,3
0.0,0.52,1
0.0,0.31,1
0.0,0.34,2
