r,x,N
2.0,1.0,24
2.0,0.0,76
6.0,0.0,70
6.0,1.0,30
3.0,1.0,31
3.0,0.0,69
7.0,0.0,72
7.0,1.0,28
1.0,1.0,13
1.0,0.0,55
1.0,0.01,2
1.0,0.23,2
1.0,0.18,2
1.0,0.02,2
1.0,0.26,1
1.0,0.04,1
1.0,0.11,2
1.0,0.06,1
1.0,0.13,2
1.0,0.1,3
1.0,0.58,1
1.0,0.15,3
1.0,0.98,1
1.0,0.05,1
1.0,0.25,2
1.0,0.19,1
1.0,0.2,1
1.0,0.16,2
1.0,0.22,1
1.0,0.21,1
4.0,0.0,80
4.0,1.0,20
9.0,0.0,79
9.0,1.0,21
5.0,0.0,78
5.0,1.0,22
8.0,1.0,23
8.0,0.0,77
0.5,0.13,3
0.5,0.21,5
0.5,0.22,9
0.5,0.17,11
0.5,0.25,6
0.5,0.18,7
0.5,0.28,3
0.5,0.2,6
0.5,0.29,3
0.5,0.24,4
0.5,0.27,4
0.5,0.26,4
0.5,0.16,4
0.5,0.12,2
0.5,0.15,10
0.5,0.05,1
0.5,0.23,1
0.5,0.32,2
0.5,0.3,3
0.5,0.11,2
0.5,0.38,1
0.5,0.19,3
0.5,0.35,1
0.5,0.31,1
0.5,0.14,2
0.5,0.34,2
0.11,0.19,8
0.11,0.25,6
0.11,0.17,10
0.11,0.18,5
0.11,0.24,10
0.11,0.31,4
0.11,0.2,5
0.11,0.22,6
0.11,0.26,5
0.11,0.21,5
0.11,0.14,5
0.11,0.29,3
0.11,0.38,1
0.11,0.28,5
0.11,0.27,6
0.11,0.32,1
0.11,0.23,5
0.11,0.34,1
0.11,0.33,3
0.11,0.3,1
0.11,0.11,1
0.11,0.15,1
0.11,0.16,2
0.11,0.12,1
0.25,0.31,4
0.25,0.09,2
0.25,0.17,6
0.25,0.25,13
0.25,0.28,1
0.25,0.32,2
0.25,0.16,5
0.25,0.29,4
0.25,0.12,3
0.25,0.2,10
0.25,0.24,2
0.25,0.18,2
0.25,0.13,2
0.25,0.21,2
0.25,0.15,5
0.25,0.38,1
0.25,0.33,4
0.25,0.14,4
0.25,0.19,7
0.25,0.22,5
0.25,0.27,2
0.25,0.23,3
0.25,0.35,1
0.25,0.26,6
0.25,0.34,2
0.25,0.3,1
0.25,0.36,1
0.0,0.21,6
0.0,0.24,9
0.0,0.18,4
0.0,0.28,5
0.0,0.2,5
0.0,0.19,7
0.0,0.14,2
0.0,0.27,9
0.0,0.32,4
0.0,0.31,9
0.0,0.23,9
0.0,0.29,3
0.0,0.25,11
0.0,0.16,3
0.0,0.26,6
0.0,0.22,5
0.0,0.3,1
0.0,0.34,1
0.0,0.17,1
