r,x,N
4.0,0.0,57
4.0,1.0,43
2.0,0.0,37
2.0,1.0,63
7.0,1.0,45
7.0,0.0,55
6.0,1.0,49
6.0,0.0,51
8.0,1.0,43
8.0,0.0,57
5.0,1.0,38
5.0,0.0,62
1.0,1.0,33
1.0,0.08,2
1.0,0.28,2
1.0,0.14,2
1.0,0.59,1
1.0,0.12,3
1.0,0.1,2
1.0,0.19,6
1.0,0.24,2
1.0,0.11,4
1.0,0.3,1
1.0,0.69,1
1.0,0.09,4
1.0,0.16,4
1.0,0.34,2
1.0,0.47,1
1.0,0.18,5
1.0,0.13,2
1.0,0.35,2
1.0,0.02,1
1.0,0.71,1
1.0,0.17,1
1.0,0.25,2
1.0,0.39,2
1.0,0.31,1
1.0,0.53,1
1.0,0.2,2
1.0,0.15,2
1.0,0.23,1
1.0,0.83,1
1.0,0.06,1
1.0,0.41,1
1.0,0.22,1
1.0,0.45,1
1.0,0.32,1
1.0,0.07,1
3.0,0.0,47
3.0,1.0,53
9.0,0.0,61
9.0,1.0,39
0.5,0.4,1
0.5,0.2,7
0.5,0.19,9
0.5,0.15,8
0.5,0.23,3
0.5,0.13,9
0.5,0.26,6
0.5,0.16,11
0.5,0.08,1
0.5,0.24,6
0.5,0.1,2
0.5,0.25,2
0.5,0.14,4
0.5,0.12,2
0.5,0.28,2
0.5,0.21,5
0.5,0.18,3
0.5,0.27,3
0.5,0.22,6
0.5,0.04,1
0.5,0.34,1
0.5,0.17,2
0.5,0.38,1
0.5,0.3,1
0.5,0.33,2
0.5,0.29,1
0.5,0.41,1
0.11,0.38,1
0.11,0.23,8
0.11,0.22,6
0.11,0.15,6
0.11,0.17,7
0.11,0.25,6
0.11,0.18,10
0.11,0.19,5
0.11,0.13,3
0.11,0.31,2
0.11,0.27,5
0.11,0.2,8
0.11,0.28,3
0.11,0.29,2
0.11,0.21,5
0.11,0.16,4
0.11,0.12,2
0.11,0.24,5
0.11,0.11,1
0.11,0.1,2
0.11,0.33,1
0.11,0.3,1
0.11,0.14,2
0.11,0.32,1
0.11,0.26,4
0.25,0.3,3
0.25,0.38,2
0.25,0.21,10
0.25,0.19,6
0.25,0.26,4
0.25,0.16,7
0.25,0.34,2
0.25,0.28,4
0.25,0.27,3
0.25,0.15,6
0.25,0.1,1
0.25,0.13,3
0.25,0.22,4
0.25,0.25,4
0.25,0.24,5
0.25,0.14,5
0.25,0.18,8
0.25,0.2,6
0.25,0.17,5
0.25,0.09,1
0.25,0.29,4
0.25,0.08,2
0.25,0.03,1
0.25,0.11,2
0.25,0.12,1
0.25,0.23,1
0.0,0.25,7
0.0,0.23,10
0.0,0.24,7
0.0,0.2,10
0.0,0.21,12
0.0,0.19,10
0.0,0.22,10
0.0,0.31,1
0.0,0.18,6
0.0,0.28,2
0.0,0.17,6
0.0,0.16,2
0.0,0.15,3
0.0,0.26,5
0.0,0.3,2
0.0,0.29,2
0.0,0.27,3
0.0,0.13,1
0.0,0.33,1
